area_name,rate,positive_rate,vaccinated
SaltLakeCity,0.7960526315789473,0.034,0.494
Moab,0.74,0.096,0.526
Seattle,0.6016427104722792,0.026,0.548
LosAngeles,0.6,0.003,0.552
Lordsburg,0.5806451612903226,0.011,0.412
NewYork,0.5704697986577181,0.005,0.645
Burlington,0.5696060563577737,0.016,0.553
Portland,0.5573686018550327,0.011,0.654
Philadelphia,0.5469280473113569,0.025,0.425
LasVegas,0.5286624203821656,0.037,0.419
Chicago,0.5257352941176471,0.019,0.581
ErieCounty,0.5117977528089888,0.016,0.563
Milwaukee,0.4950546590317543,0.016,0.46
Atlanta,0.47947327652982186,0.023,0.364
Denver,0.4693941286695815,0.015,0.447
Jackson,0.46870748299319726,0.021,0.431
Birmingham,0.453774385072095,0.055,0.373
Miami,0.44025157232704404,0.022,0.378
